latitude,longitude,label,temp_c,rh,wind_ms,rain_mm,NDVI,Elevation,Slope,Month,DayOfYear
18.94103056,84.02211878,1,28.494,60.813,1.279,0.004,0.559,503,33.07,3,81
18.26005003,82.25036632,1,28.715,45.241,0.558,0.012,0.323,776,23.178,3,81
18.94775935,83.16159254,1,27.777,34.03,0.869,0.002,0.452,467,7.797,3,81
19.73966002,83.85459035,1,28.831,16.215,1.099,0.001,0.349,659,11.173,3,83
17.97085057,81.86197862,1,28.774,39.387,0.357,0.001,0.293,372,4.184,3,83
19.70441975,83.92986443,1,28.47,24.626,0.603,0.002,0.402,706,26.338,3,84
18.36230167,82.2128519,1,28.059,30.749,0.725,0.002,0.514,501,31.426,3,84
19.59547945,83.94291622,1,28.702,32.929,1.095,0.001,0.399,595,6.538,3,87
19.98483032,83.66409309,1,29.267,26.43,1.007,0.001,0.387,620,33.711,3,87
20.17353055,83.78082344,1,29.24,22.971,0.875,0.001,0.391,698,11.366,3,87
20.17427076,83.73857792,1,29.437,24.572,0.893,0.001,0.478,514,16.076,3,87
19.90985053,83.9317328,1,29.037,26.491,1.179,0.001,0.444,921,32.438,3,89
19.29566733,83.73831929,1,26.344,31.182,0.725,0.002,0.457,223,17.657,2,54
20.19408255,82.39689684,1,27.246,24.45,0.663,0.002,0.374,780,17.8,2,54
17.82512269,82.6207883,1,24.572,29.113,0.239,0.012,0.603,312,20.581,2,56
19.38139801,84.15273476,1,26.137,23.729,0.347,0.012,0.452,836,33.374,2,56
19.22616778,84.0517718,1,26.829,22.384,0.446,0.012,0.4,647,15.401,2,56
17.80936868,82.63099518,1,24.678,29.365,0.466,0.002,0.592,589,13.857,2,57
19.20442966,83.90290025,1,28.69,24.405,0.218,0.002,0.43,324,6.538,2,57
19.13694117,83.57318986,1,26.099,25.823,0.027,0.002,0.455,853,21.937,2,57
19.48966052,84.25605214,1,25.583,24.46,0.874,0.002,0.479,794,14.163,2,57
19.9131681,84.99659734,1,27.362,32.474,0.813,0.002,0.463,211,4.194,2,57
19.76253075,83.92698831,1,26.575,26.321,0.598,0.002,0.448,945,4.73,2,58
19.02524069,84.36501919,1,25.64,40.619,2.147,0.012,0.471,688,32.211,2,59
19.61748065,84.25050947,1,25.984,36.467,1.985,0.001,0.557,694,13.189,2,60
19.59140829,84.28446999,1,26.204,35.239,1.93,0.001,0.531,688,19.644,2,60
19.59144842,84.28479104,1,26.204,35.239,1.93,0.001,0.531,694,19.499,2,60
19.55598965,83.33554207,1,26.656,29.211,1.133,0,0.475,571,27.704,3,61
19.19639882,83.23880187,1,25.248,41.992,1.907,0,0.443,550,9.371,3,62
19.482031,84.18396631,1,25.964,54.533,2.183,0.024,0.424,512,26.065,3,62
19.57002244,83.22773884,1,26.565,36.12,1.852,0,0.421,590,9.917,3,62
19.54647839,82.56160711,1,25.643,42.442,2.651,0,0.43,661,8.787,3,62
20.09416747,83.93509496,1,26.672,36.591,1.342,0.011,0.479,715,15.501,3,62
19.19342906,83.99260844,1,26.098,61.72,1.729,0.012,0.466,305,30.864,3,62
19.91329742,84.25353274,1,25.812,35.216,1.047,0.001,0.534,611,13.632,3,63
19.6757611,83.12153643,1,26.585,23.777,0.763,0.001,0.443,804,14.521,3,63
19.28821171,83.22250386,1,25.599,29.218,1.454,0.001,0.52,782,27.527,3,63
19.31489051,83.23758008,1,25.599,29.218,1.454,0.001,0.476,596,21.596,3,63
19.40318071,83.25863595,1,27.485,28.761,1.277,0.001,0.428,480,8.632,3,63
19.57036133,84.11477444,1,25.692,31.552,0.167,0.002,0.464,542,19.609,3,64
19.70491025,83.14195466,1,26.331,20.729,0.445,0,0.48,680,17.73,3,64
19.9181177,83.74250193,1,25.492,22.39,0.675,0,0.41,415,12.007,3,64
